Currency,MarketCap
Bitcoin,677553814749
Ethereum,285504440507
Cardano,52502849873
Binance Coin,51066263059
XRP,41724310840
Dogecoin,39949353774
Polkadot,19784792492
Internet Computer,14492266992
Bitcoin Cash,12656171468
Litecoin,11685599570
Stellar,8830770971
Solana,8006351504
Ethereum Classic,7807378744
VeChain,7110672642
THETA,6742748938
EOS,5946556939
TRON,5221607789
Filecoin,5133526172
Monero,4760455480
Neo,3759510130
Klaytn,3462893846
Bitcoin SV,3165005487
Tezos,3003449888
IOTA,2958264632
Cosmos,2758353012
Algorand,2695464696
Terra,2654462596
Kusama,2614765195
Creditcoin,2242557309
Avalanche,2229364846
Decred,2024315966
TerraUSD,1959925719
Dash,1921056257
Hedera Hashgraph,1892127238
Zcash,1875810721
Counos X,1817279388
Elrond,1698245868
NEM,1681057468
Theta Fuel,1609139730
DeFiChain,1428828216
Helium,1413648904
Waves,1385373235
Horizen,1243068881
Zilliqa,1241427267
NEAR Protocol,1238191868
Qtum,1148015219
Stacks,1132514463
Bitcoin Gold,1032822573
Symbol,988861940
Harmony,959808024
Nano,952195463
Ontology,941870742
Mdex,921640180
DigiByte,904696257
WhiteCoin,886104758
Siacoin,841945991
Celo,789991462
Fantom,778344158
Pirate Chain,734341638
Ravencoin,726921366
ICON,692626679
XinFin Network,619914869
Flow,568978493
IOST,513438643
Bitcoin Diamond,511092938
Arweave,495205959
Lisk,433584702
Verge,413640627
Bitcoin Cash ABC,387856281
Nervos Network,385339711
Ergo,380825668
Hellenic Coin,277887075
Energy Web Token,266088205
IoTeX,261043894
NKN,257729897
WAX,239378509
Serum,220500024
Ardor,216191682
Steem,206895285
Akash Network,206410563
Stratis,203459144
RChain,194339499
Komodo,190059886
ABBC Coin,185920486
Velas,181041698
MediBloc,178611699
BitShares,173212399
Hive,171391172
Divi,163621511
Electroneum,163602427
COTI,156286950
Wanchain,148690065
Haven Protocol,145417739
Ark,144370418
MonaCoin,142604304
Syscoin,140096483
Metadium,137160711
Maro,132109692
ReddCoin,123938857
Bytom,119766970
