Currency,Parent,MarketCap
Cryptocurrency,,
Bitcoin,Cryptocurrency,677553814749
Ethereum,Cryptocurrency,285504440507
Cardano,Cryptocurrency,52502849873
Binance Coin,Cryptocurrency,51066263059
XRP,Cryptocurrency,41724310840
Dogecoin,Cryptocurrency,39949353774
Polkadot,Cryptocurrency,19784792492
Internet Computer,Cryptocurrency,14492266992
Bitcoin Cash,Cryptocurrency,12656171468
Litecoin,Cryptocurrency,11685599570
Stellar,Cryptocurrency,8830770971
Solana,Cryptocurrency,8006351504
Ethereum Classic,Cryptocurrency,7807378744
VeChain,Cryptocurrency,7110672642
THETA,Cryptocurrency,6742748938
EOS,Cryptocurrency,5946556939
TRON,Cryptocurrency,5221607789
Filecoin,Cryptocurrency,5133526172
Monero,Cryptocurrency,4760455480
Neo,Cryptocurrency,3759510130
Klaytn,Cryptocurrency,3462893846
Bitcoin SV,Cryptocurrency,3165005487
Tezos,Cryptocurrency,3003449888
IOTA,Cryptocurrency,2958264632
Cosmos,Cryptocurrency,2758353012
Algorand,Cryptocurrency,2695464696
Terra,Cryptocurrency,2654462596
Kusama,Cryptocurrency,2614765195
Creditcoin,Cryptocurrency,2242557309
Avalanche,Cryptocurrency,2229364846
Decred,Cryptocurrency,2024315966
TerraUSD,Cryptocurrency,1959925719
Dash,Cryptocurrency,1921056257
Hedera Hashgraph,Cryptocurrency,1892127238
Zcash,Cryptocurrency,1875810721
Counos X,Cryptocurrency,1817279388
Elrond,Cryptocurrency,1698245868
NEM,Cryptocurrency,1681057468
Theta Fuel,Cryptocurrency,1609139730
DeFiChain,Cryptocurrency,1428828216
Helium,Cryptocurrency,1413648904
Waves,Cryptocurrency,1385373235
Horizen,Cryptocurrency,1243068881
Zilliqa,Cryptocurrency,1241427267
NEAR Protocol,Cryptocurrency,1238191868
Qtum,Cryptocurrency,1148015219
Stacks,Cryptocurrency,1132514463
Bitcoin Gold,Cryptocurrency,1032822573
Symbol,Cryptocurrency,988861940
Harmony,Cryptocurrency,959808024
Nano,Cryptocurrency,952195463
Ontology,Cryptocurrency,941870742
Mdex,Cryptocurrency,921640180
DigiByte,Cryptocurrency,904696257
WhiteCoin,Cryptocurrency,886104758
Siacoin,Cryptocurrency,841945991
Celo,Cryptocurrency,789991462
Fantom,Cryptocurrency,778344158
Pirate Chain,Cryptocurrency,734341638
Ravencoin,Cryptocurrency,726921366
ICON,Cryptocurrency,692626679
XinFin Network,Cryptocurrency,619914869
Flow,Cryptocurrency,568978493
IOST,Cryptocurrency,513438643
Bitcoin Diamond,Cryptocurrency,511092938
Arweave,Cryptocurrency,495205959
Lisk,Cryptocurrency,433584702
Verge,Cryptocurrency,413640627
Bitcoin Cash ABC,Cryptocurrency,387856281
Nervos Network,Cryptocurrency,385339711
Ergo,Cryptocurrency,380825668
Hellenic Coin,Cryptocurrency,277887075
Energy Web Token,Cryptocurrency,266088205
IoTeX,Cryptocurrency,261043894
NKN,Cryptocurrency,257729897
WAX,Cryptocurrency,239378509
Serum,Cryptocurrency,220500024
Ardor,Cryptocurrency,216191682
Steem,Cryptocurrency,206895285
Akash Network,Cryptocurrency,206410563
Stratis,Cryptocurrency,203459144
RChain,Cryptocurrency,194339499
Komodo,Cryptocurrency,190059886
ABBC Coin,Cryptocurrency,185920486
Velas,Cryptocurrency,181041698
MediBloc,Cryptocurrency,178611699
BitShares,Cryptocurrency,173212399
Hive,Cryptocurrency,171391172
Divi,Cryptocurrency,163621511
Electroneum,Cryptocurrency,163602427
COTI,Cryptocurrency,156286950
Wanchain,Cryptocurrency,148690065
Haven Protocol,Cryptocurrency,145417739
Ark,Cryptocurrency,144370418
MonaCoin,Cryptocurrency,142604304
Syscoin,Cryptocurrency,140096483
Metadium,Cryptocurrency,137160711
Maro,Cryptocurrency,132109692
ReddCoin,Cryptocurrency,123938857
Bytom,Cryptocurrency,119766970
